Corriente (A),Tension (V)
********************************************************************************
para 11v
0,11
0.1,11
0.15,10.99
0.2,10.99
0.3,10.98
0.4,10.97
0.5,10.96
0.6,10.96
0.7,10.95
0.8,10.94
0.9,10.93
1,10.92
1.1,10.86
1.13,10.82
1.15,10.78
1.17,10.75
1.2,10.64
1.21,10.51
1.23,10.2
**********La vuelta***************
1.21,9.37
1.18,8.19
1.14,7.29
1.1,6.25
1.08,5.78
1.05,5.11
0.99,3.6
0.9,1.74
0.85,0.65
0.83,0.32
0.81,0.08

**********************************************************************************
para 5v
0,5
0.05,5
0.08,5
0.2,4.99
0.3,4.98
0.4,4.97
0.52,4.96
0.6,4.96
0.7,4.95
0.82,4.94
0.89,4.94
0.95,4.93
0.96,4.93
1.03,4.92
1.04,4.97
1.05,4.36
1.03,4.26
1,3.7
0.96,3.1
0.93,2.29
0.9,1.7
0.88,1.18
0.85,0.73
0.83,0.37
0.82,0.11





*****************************************************************************************************************************************************
0,4.99
0.5,4.99
0.88,5
0.93,Oscila
0.92,5.3
-6.190373399014779e-05,0.6926281088785384
-6.188373399014779e-05,-0.9968282673646441
-6.186373399014778e-05,-0.9948312740121108
-6.184373399014779e-05,-0.9948312740121108
